user,assistant
What is the Defensive Transition page about?,It analyses how Premier League teams behave when they lose possession in the attacking third — how exposed they are to counter-attacks and how quickly they recover.
"What is ""Susceptibility to Counterattack""?","Susceptibility to Counterattack measures how structurally exposed a team is at the exact moment it loses possession high up the pitch. A more compact, well-organised team is less susceptible."
"What is ""Reaction to Counterattack""?","Reaction to Counterattack measures how effectively a team responds during the dangerous window (approximately 6 seconds) after conceding possession, tracking whether the team recovers shape and reduces the threat."
What does defensive_coverage_area_at_loss_avg mean?,It is the average convex hull area covered by the team when possession is lost. A smaller area means the team is more compact and harder to counter. Lower is better.
What does spread_at_loss_avg mean?,"It is the average distance of players from the team centroid at the moment of ball loss. A lower value means players are tightly clustered, indicating a compact and organised shape. Lower is better."
What does vertical_compactness_at_loss_avg mean?,"It measures how stretched the team is from front to back along the pitch at the moment of loss. A lower value means less vertical stretching, which is better defensively."
What does horizontal_compactness_at_loss_avg mean?,"It measures how stretched the team is from side to side at the moment of loss. A lower value means less horizontal stretching, which is better defensively."
What does number_of_defenders_behind_the_ball_at_loss_avg mean?,It is the average number of outfield players positioned behind the ball at the moment of ball loss. A higher value is better — more defenders behind the ball means the team is harder to counter.
What does attackers_distance_to_goal_avg mean?,It is the average distance of the attacking players from their own goal at the moment of ball loss. A higher value means attackers are very far up the pitch and cannot track back quickly. Lower is better.
What does avg_onball_threat mean?,It is the average on-ball threat of the situation per turnover — how dangerous the ball carrier is at the moment of loss. Lower is better; it means the team loses the ball in less threatening positions.
What does avg_support_threat mean?,It is the average support threat per turnover — how dangerous the off-ball players near the ball carrier are. Lower is better.
What does cumulative_onball_threat mean?,It is the total on-ball threat conceded across all ball losses across the season. Lower is better.
What does cumulative_support_threat mean?,It is the total support threat conceded across all ball losses across the season. Lower is better.
What does total_losses mean?,"It is the total number of times the team lost possession in the attacking third across the season. Fewer losses is better, but some high-press teams naturally lose the ball more because they press more aggressively."
What does dangerous_rate mean?,It is the proportion of turnovers that evolved into a dangerous counter-attack window — calculated as dangerous_windows divided by total_losses. A lower rate is better.
What does dangerous_windows mean?,It is the number of times a turnover led to a dangerous counter-attack window. Fewer dangerous windows is better.
What does reaction_time mean?,It is the average number of seconds it takes for the team to begin recovering shape after losing possession in a dangerous counter-attack. Lower is better — faster reaction reduces danger.
What is the difference between _danger_start and _danger_end metrics?,"_danger_start metrics capture the team shape at the beginning of the dangerous counter-attack window; _danger_end metrics capture the shape at the end. Comparing the two shows how much the team recovered during the window. Improvement (e.g. more defenders, less spread) means the team reacted well."
How are z-scores used?,"Z-scores are calculated at runtime from the raw team averages across all 20 Premier League teams. A z-score of 0 means league average. Positive z-scores mean better than average, negative means worse. For negative metrics (where lower raw values are better), the z-score is flipped so that a better team still appears to the right of the distribution."
What do the rating words mean?,"The z-scores are translated into words: outstanding (z>=1.5), excellent (z>=1.0), good (z>=0.5), average (|z|<0.5), below average (z<=-0.5), poor (z<=-1.0). These words describe how a team compares to the other 19 Premier League teams."
